YHOO,AAPL
"((40.451111222222231, 39.457777666666665, 39.949999777777776, 40.066666444444451), (38.32, 36.52, 38.220001, 36.830002, '2014-01-28'))","((553.09221988888896, 543.17444366666666, 548.58111233333341, 547.09668144444447), (514.999985, 502.070023, 506.499977, 508.760002, '2014-01-28'))"
"((40.086666555555553, 39.104444333333333, 39.578888666666671, 39.671110666666664), (36.310001, 34.82, 34.889999, 35.77, '2014-01-29'))","((554.45888522222219, 544.93777733333332, 550.22222388888883, 549.33667933333334), (507.37001, 498.62001, 500.749992, 503.950012, '2014-01-29'))"
"((39.773333333333333, 38.713333111111105, 39.254444444444445, 39.295555444444439), (35.810001, 34.450001, 35.310001, 34.889999, '2014-01-30'))","((550.93332766666674, 540.98333588888886, 545.78999666666675, 546.06334522222232), (506.499977, 496.70002, 499.779984, 502.539993, '2014-01-30'))"
"((39.217777777777776, 38.053333333333327, 38.567777666666672, 38.707777555555559), (36.330002, 34.549999, 36.009998, 34.689999, '2014-01-31'))","((545.06332822222214, 535.09000411111106, 539.49999655555553, 540.55556744444448), (501.529984, 493.549988, 500.599976, 495.179985, '2014-01-31'))"
"((38.668889000000007, 37.424444444444447, 38.00888888888889, 38.092221888888886), (36.009998, 34.66, 34.900002, 35.939999, '2014-02-03'))","((539.46887888888898, 528.9811148888889, 533.44777088888895, 534.73778700000014), (507.730019, 499.300026, 501.529984, 502.610008, '2014-02-03'))"
"((38.212222666666662, 36.877777555555561, 37.56444444444444, 37.488888555555555), (35.860001, 34.860001, 35.66, 35.110001, '2014-02-04'))","((533.85332244444442, 523.83111422222225, 528.99554622222229, 528.48222766666674), (509.459991, 502.760025, 508.790016, 505.849976, '2014-02-04'))"
"((37.763333666666668, 36.411110777777772, 37.051111333333338, 37.039999555555553), (35.939999, 34.990002, 35.490002, 35.599998, '2014-02-05'))","((529.14888011111111, 519.26222755555546, 523.71332477777776, 524.21778355555557), (515.279991, 506.249985, 512.589996, 506.560005, '2014-02-05'))"
"((37.258889111111117, 35.915555333333337, 36.548889111111116, 36.534444111111114), (36.75, 35.610001, 36.240002, 35.650002, '2014-02-06'))","((523.83443711111113, 514.2566775555556, 518.96666222222223, 519.21111211111122), (513.499977, 507.81002, 512.509995, 510.060005, '2014-02-06'))"
"((36.833333444444442, 35.454444555555554, 36.115556111111111, 36.122221555555562), (37.27, 36.240002, 37.23, 36.650002, '2014-02-07'))","((519.25443611111109, 509.97223000000002, 514.1233292222222, 514.39111155555565), (522.929993, 517.380013, 519.679985, 521.379997, '2014-02-07'))"
"((36.585555666666664, 35.231111444444451, 35.930000777777778, 35.786666444444435), (38.130001, 37.25, 37.759998, 38.0, '2014-02-10'))","((514.57443577777792, 505.8677894444445, 510.39443811111113, 509.5088873333334), (531.990013, 518.0, 528.989998, 518.659988, '2014-02-10'))"
"((36.511111333333332, 35.188889555555562, 35.994445000000006, 35.681111333333334), (38.860001, 38.09, 38.5, 38.150002, '2014-02-11'))","((511.03332522222223, 502.71556777777772, 506.96998944444448, 506.32110922222222), (537.749985, 529.500023, 535.959984, 530.610008, '2014-02-11'))"
"((36.490000333333327, 35.270000666666668, 35.943333555555554, 35.811111111111103), (38.91, 38.029999, 38.110001, 38.599998, '2014-02-12'))","((512.92110611111116, 504.48556522222214, 509.46888066666662, 507.42110766666673), (539.560013, 533.239975, 535.919983, 536.95002, '2014-02-12'))"
